Order_ID,Product,Quantity,Price,Order_Date,Region
1,Programming Book,30,327.49,2022-10-07,East
2,Smartphone,23,,2023-03-15,North
3,Calculator,47,749.49,2023-09-28,West
4,Monitor,19,894.16,2023-12-25,West
5,Microphone,7,,2024-11-20,Northwest
6,Tablet,40,215.72,2023-05-06,
7,Cooling Fan,25,261.17,2022-10-10,West
8,USB Drive,16,328.35,2022-11-09,South
9,Magazine,33,287.1,2022-10-04,
10,Tablet,9,338.94,2023-07-13,East
11,Watch,11,252.04,2023-06-30,East
12,Notebook,36,85.91,2023-03-29,Southwest
13,Watch,34,315.85,2023-04-11,Northwest
14,Speaker,45,100.11,2024-01-26,Northeast
15,Air Conditioner,12,808.49,2022-12-24,Southwest
16,Pen,39,915.19,2023-04-01,North
17,Motherboard,20,,2023-12-04,
18,USB Drive,28,661.63,2024-04-10,Northeast
19,Network Card,32,,2023-03-24,South
20,Hat,5,93.18,2022-11-30,Northwest
21,GPU,18,71.75,2023-11-12,South
22,Calculator,45,175.09,2022-11-05,Southeast
23,Microwave,36,149.31,2022-07-29,Central
24,GPU,32,975.01,2023-02-21,Northwest
25,Folder,41,,2023-12-05,East
26,Tablet,39,851.49,2023-08-01,Central
27,Desktop,3,573.22,2023-03-26,South
28,HDD,46,813.58,2024-08-27,Southwest
29,Shoes,48,607.66,2022-09-09,East
30,Cooling Fan,13,353.43,2022-10-13,South
31,External HDD,23,,2022-11-05,Central
32,Motherboard,44,895.41,2023-02-03,North
33,Headphones,27,,2022-10-18,North
34,Speaker,4,619.89,2023-06-12,
35,Power Supply,2,609.78,2024-11-06,North
36,Air Conditioner,16,95.37,2022-08-31,North
37,Calculator,28,406.15,2024-12-17,Central
38,Air Conditioner,4,412.51,2022-08-02,North
39,Textbook,20,873.11,2024-09-27,West
40,Desktop,17,879.03,2023-05-23,Southeast
41,Mouse,47,,2023-09-22,Northwest
42,HDD,16,,2022-02-28,North
43,GPU,47,,2023-10-03,West
44,T-Shirt,16,353.27,2024-09-21,North
45,GPU,50,395.28,2024-04-07,North
46,GPU,21,,2022-12-12,North
47,Notebook,10,,2022-04-17,Southwest
48,Network Card,36,923.05,2023-12-25,Northwest
49,Keyboard,30,426.65,2023-07-24,
50,Cooling Fan,8,636.03,2023-07-10,Northeast
51,Power Supply,39,721.74,2022-01-04,Central
52,Smartphone,1,,2024-10-11,West
53,Watch,10,,2023-12-08,Central
54,Printer,29,,2024-10-10,Southwest
55,USB Drive,33,,2022-09-02,Northeast
56,Hat,34,367.12,2023-06-15,Northwest
57,External HDD,21,959.37,2023-11-09,
58,Monitor,7,312.72,2024-03-02,Central
59,Motherboard,7,784.36,2024-10-04,Southwest
60,Bag,43,,2023-07-07,South
61,Power Supply,1,649.62,2022-12-08,
62,Calculator,6,,2022-11-30,South
63,Tablet,29,,2024-04-24,
64,Bag,20,223.27,2023-07-26,North
65,Pen,14,182.61,2023-05-31,Southwest
66,Dictionary,2,962.57,2022-12-06,West
67,Speaker,44,847.25,2024-05-29,Northeast
68,Jeans,10,914.29,2024-08-26,South
69,RAM,17,782.34,2022-07-07,
70,Shoes,7,588.65,2024-07-02,Southeast
71,Scanner,50,440.89,2024-09-20,West
72,Novel,10,480.82,2023-02-23,Southeast
73,Novel,5,,2024-01-25,Southeast
74,HDD,49,633.92,2024-04-01,Northeast
75,Calculator,34,,2022-12-23,East
76,Magazine,25,731.05,2024-03-26,
77,Paper,2,223.35,2022-01-17,Southwest
78,Refrigerator,4,326.36,2022-10-05,Northeast
79,Hat,2,84.76,2023-10-11,Southeast
80,SSD,37,,2024-05-29,Northeast
81,Motherboard,33,632.74,2024-01-21,Northeast
82,Motherboard,26,749.56,2023-12-22,Southeast
83,Cooling Fan,39,581.59,2022-10-21,South
84,CPU,24,332.45,2022-10-08,East
85,Notebook,48,374.6,2023-04-06,Northeast
86,Keyboard,24,326.77,2023-09-04,West
87,Microphone,29,472.81,2022-05-25,West
88,Webcam,48,953.38,2022-04-28,West
89,Shoes,8,,2023-08-10,West
90,Network Card,20,195.8,2023-06-12,Northeast
91,External HDD,13,12.98,2023-02-19,East
92,Calculator,31,,2022-09-17,
