Order_ID,Product,Quantity,Price,Order_Date,Region
1,Dictionary,17,33.07,2022-01-19,East
2,HDD,17,,2024-06-27,Northwest
3,T-Shirt,8,519.09,2024-08-27,Northwest
4,Refrigerator,45,533.76,2022-09-15,West
5,Programming Book,14,519.55,2024-12-25,Northeast
6,Refrigerator,32,520.54,2023-06-03,Northwest
7,Mouse,10,459.11,2022-12-19,Northwest
8,Bag,17,101.14,2024-06-24,Southeast
9,Webcam,41,22.45,2023-10-30,North
10,Keyboard,9,337.8,2022-07-11,Central
11,Refrigerator,3,252.38,2024-11-29,East
12,External HDD,7,66.21,2022-06-12,Northwest
13,Refrigerator,44,368.94,2022-04-19,West
14,T-Shirt,49,489.93,2024-10-04,North
15,Shoes,40,784.8,2023-02-07,Northwest
16,Headphones,4,650.17,2024-05-01,Northeast
17,Microwave,28,89.95,2023-12-20,Central
18,Smartphone,17,130.14,2023-10-15,Southwest
19,Dictionary,41,623.51,2024-07-10,East
20,Desk,4,951.49,2024-01-31,North
21,TV,13,457.91,2022-11-24,Southwest
22,Microphone,24,690.83,2024-03-21,North
23,Folder,8,869.72,2022-04-26,South
24,Desktop,22,623.87,2024-11-09,West
25,Laptop,22,618.51,2024-10-13,East
26,USB Drive,46,,2022-01-23,West
27,Dictionary,2,473.26,2023-07-05,East
28,Shoes,21,21.51,2023-06-16,Central
29,Magazine,5,346.68,2023-08-23,Northwest
30,Desktop,19,689.85,2023-09-30,Central
31,RAM,6,731.47,2023-05-28,West
32,Desk,48,95.21,2024-10-27,Northwest
33,Desk,39,521.98,2023-11-30,South
34,Graphics Card,22,926.4,2023-05-01,East
35,Motherboard,33,444.91,2022-10-28,Northwest
36,Scanner,46,776.95,2022-05-01,Southeast
37,Watch,37,48.95,2022-09-14,South
38,Shoes,13,887.55,2024-07-08,Central
39,Paper,38,666.82,2023-06-10,Northwest
40,Bag,45,535.58,2024-04-17,Southeast
41,Graphics Card,31,318.6,2024-06-17,Northwest
42,Microwave,38,995.96,2024-03-02,Southeast
43,Mouse,42,194.45,2022-12-22,Southeast
44,Shoes,38,177.91,2024-12-13,West
45,Scanner,35,577.7,2023-06-12,West
46,GPU,19,338.85,2024-11-12,Southwest
47,Hat,19,978.29,2022-04-06,Southeast
48,Microphone,27,719.09,2022-07-06,Northeast
49,Textbook,3,260.7,2022-11-21,Northwest
50,Pen,6,153.63,2022-07-04,South
51,Dictionary,24,,2023-06-12,West
52,Smartphone,27,501.41,2024-02-14,Southwest
53,Speaker,9,862.24,2023-10-30,East
54,RAM,8,,2022-02-26,Northwest
55,Folder,34,111.49,2023-06-07,Northwest
56,Jacket,28,24.52,2024-08-07,East
57,Pen,14,441.76,2022-12-31,
58,Refrigerator,1,,2023-07-13,Northeast
59,CPU,44,410.2,2023-09-29,Central
60,Shoes,11,,2022-11-13,West
61,Cooling Fan,29,600.66,2022-08-02,Central
62,Jacket,10,182.5,2024-10-20,Southwest
63,External HDD,49,216.79,2022-04-24,West
64,Jacket,49,329.44,2024-04-29,Northeast
65,Programming Book,46,534.37,2024-12-16,Southwest
66,Smartphone,9,690.68,2022-10-27,South
67,Washing Machine,42,988.22,2024-11-20,Southwest
68,Hat,23,766.01,2023-09-19,
69,Magazine,6,19.82,2024-02-21,Northeast
70,Graphics Card,44,711.53,2023-02-08,Northeast
71,HDD,8,661.32,2023-09-05,Southeast
72,Scanner,16,942.28,2023-12-07,South
73,Notebook,3,742.64,2022-02-26,East
74,Tablet,39,984.29,2024-04-28,South
75,Jeans,16,844.92,2022-05-19,West
76,Pen,1,305.75,2024-11-02,West
77,Watch,41,923.65,2022-01-22,North
78,Speaker,1,217.85,2023-07-04,Central
79,External HDD,27,544.23,2024-08-31,West
80,GPU,21,996.53,2022-07-09,Central
81,TV,33,134.08,2023-10-19,North
82,Headphones,2,124.67,2023-05-25,East
83,Refrigerator,34,120.88,2024-05-14,West
84,Keyboard,39,697.04,2024-05-10,Central
85,Folder,17,220.1,2023-04-25,Northeast
86,Desk,22,786.77,2023-10-02,West
87,Webcam,8,485.42,2023-12-11,West
88,Pen,8,374.66,2024-06-09,Northeast
89,Dictionary,11,886.79,2022-11-25,Southeast
90,Mouse,7,667.86,2024-04-04,Southeast
91,Watch,13,593.24,2024-04-23,Northwest
92,GPU,9,756.29,2024-11-16,Central
93,Speaker,19,343.25,2022-07-07,
94,CPU,43,459.11,2022-02-17,Southeast
95,Laptop,8,718.58,2024-06-25,Northeast
96,Air Conditioner,10,,2022-10-09,North
97,Microwave,33,799.61,2024-05-19,Northeast
98,Refrigerator,12,265.8,2022-12-29,North
99,Hat,13,915.26,2022-05-21,South
100,Watch,24,998.1,2024-10-28,East
101,Pen,34,664.84,2023-06-05,Southwest
102,Office Chair,43,907.92,2024-10-11,Northeast
103,Speaker,11,54.34,2024-11-28,South
104,Programming Book,50,55.91,2024-08-05,Northeast
105,Jacket,47,50.22,2022-02-20,Southwest
106,Webcam,1,259.92,2024-07-16,Southeast
107,Washing Machine,22,496.22,2022-06-11,South
108,CPU,11,628.1,2024-10-22,South
109,Mouse,36,795.3,2023-06-07,Northeast
110,TV,18,525.65,2022-05-26,Northwest
111,Programming Book,33,93.69,2024-07-19,Central
112,Desk,11,255.4,2023-02-04,Northeast
113,RAM,29,,2022-05-22,Central
114,Calculator,44,952.5,2023-07-07,West
115,Speaker,49,610.61,2023-07-27,Northeast
116,T-Shirt,26,,2022-04-09,North
117,Notebook,8,480.68,2024-03-21,Northeast
118,CPU,16,938.47,2023-03-31,North
119,Speaker,19,225.6,2023-05-19,East
120,Jacket,6,90.42,2024-02-05,West
121,Graphics Card,9,642.07,2024-09-08,South
122,Webcam,8,318.89,2022-07-03,West
123,Dictionary,42,554.87,2022-04-26,Northwest
124,Notebook,9,820.6,2023-03-16,North
125,Jeans,17,565.32,2022-01-15,East
126,Speaker,22,800.39,2024-07-01,South
127,HDD,20,,2022-09-03,Central
128,T-Shirt,33,903.41,2023-11-04,West
129,T-Shirt,12,,2023-08-08,Central
130,Speaker,42,340.86,2024-12-16,
131,T-Shirt,9,266.02,2022-10-09,Northeast
132,Novel,48,571.11,2022-05-11,Southwest
133,Paper,19,225.2,2023-04-24,East
134,Graphics Card,36,549.51,2022-12-15,West
135,Calculator,34,717.77,2022-02-04,North
136,Speaker,16,768.46,2022-08-22,South
137,Cooling Fan,5,402.87,2024-02-14,Northeast
138,Cooling Fan,15,904.26,2023-07-27,South
139,Microphone,26,149.79,2024-08-18,Central
140,Motherboard,30,803.13,2022-10-01,
141,Air Conditioner,10,194.97,2022-09-04,Southeast
142,Cooling Fan,8,692.11,2022-04-26,East
143,Shoes,44,579.63,2024-05-30,Northwest
144,Notebook,7,383.08,2023-05-29,Northeast
145,Monitor,41,717.09,2023-04-11,Northwest
146,Mouse,16,756.49,2024-07-04,West
147,RAM,30,,2024-05-20,East
148,Power Supply,7,619.89,2024-07-05,North
149,Cooling Fan,9,568.04,2023-09-05,Northwest
150,Air Conditioner,29,877.74,2023-12-18,Southeast
151,Scanner,20,683.88,2023-11-30,Northwest
152,Monitor,42,643.68,2024-12-14,East
153,Microphone,13,,2024-01-23,Southwest
154,Headphones,6,992.5,2024-08-05,Northwest
155,Desk,14,664.91,2024-01-02,Southeast
156,Novel,37,627.4,2023-05-28,Southeast
157,RAM,46,786.15,2022-02-27,East
158,Laptop,26,,2024-07-26,Southeast
159,Webcam,3,827.92,2023-04-03,Northwest
160,Network Card,5,407.51,2022-12-19,East
161,Microphone,48,489.03,2024-10-28,South
162,Tablet,19,733.04,2022-08-01,Southwest
163,Folder,17,389.44,2024-10-31,East
164,Shoes,14,779.57,2022-03-21,Southeast
165,Motherboard,46,103.34,2022-11-10,Southwest
166,Programming Book,6,984.12,2023-12-18,Southeast
167,Programming Book,40,405.41,2024-12-29,Southwest
168,Programming Book,47,,2022-11-11,Northwest
169,Keyboard,3,99.22,2022-01-20,Central
170,Watch,25,229.78,2022-09-30,Southeast
171,Monitor,24,,2023-04-02,Southwest
172,Refrigerator,2,280.52,2024-07-19,Northeast
173,Programming Book,13,763.88,2024-04-17,
