Order_ID,Product,Quantity,Price,Order_Date,Region
1,Printer,33,678.85,2022-12-27,Northwest
2,Tablet,16,156.63,2022-03-18,Central
3,Dictionary,20,150.8,2023-12-11,Central
4,Microphone,1,400.75,2024-11-24,Northwest
5,Webcam,23,975.95,2022-04-22,Southeast
6,USB Drive,16,818.74,2022-05-23,Southwest
7,USB Drive,3,372.65,2022-08-26,North
8,Air Conditioner,18,616.9,2023-01-07,Northwest
9,Smartphone,17,155.84,2023-11-14,Northeast
10,Programming Book,18,,2024-06-25,Northwest
11,Notebook,26,195.2,2024-04-12,
12,Bag,45,579.94,2023-08-04,East
13,Hat,2,102.99,2022-12-11,West
14,Magazine,22,229.57,2024-03-27,East
15,Laptop,17,792.12,2023-03-04,East
16,Refrigerator,28,493.89,2024-06-13,West
17,Printer,21,786.53,2024-04-13,Northeast
18,USB Drive,24,785.69,2024-08-17,South
19,Jeans,36,149.37,2022-04-08,South
20,CPU,9,341.65,2024-08-11,West
21,Graphics Card,10,388.82,2024-11-01,North
22,Hat,34,950.53,2022-05-27,Northeast
23,Bag,49,622.94,2022-10-16,South
24,HDD,3,558.17,2024-12-01,Northeast
25,Notebook,10,170.72,2024-03-06,Central
26,Microphone,12,213.43,2024-01-09,South
27,Laptop,1,,2023-09-13,South
28,RAM,27,77.66,2023-06-21,North
29,Desk,1,501.76,2024-04-17,East
30,Mouse,23,347.13,2023-03-30,Southeast
31,USB Drive,43,760.52,2024-06-16,Central
32,Microwave,23,760.07,2022-06-13,Southwest
33,Scanner,44,356.71,2022-02-19,North
34,Desk,14,154.57,2024-10-09,Southeast
35,RAM,33,705.56,2023-12-22,East
36,Speaker,47,461.71,2023-11-23,North
37,Scanner,21,361.53,2024-11-17,Northeast
38,Dictionary,8,744.84,2024-08-03,West
39,Watch,12,935.08,2024-04-26,Central
40,T-Shirt,36,214.36,2022-06-10,Northwest
41,Mouse,2,386.83,2022-07-27,Southeast
42,Monitor,41,484.52,2023-09-27,Southeast
43,USB Drive,4,846.6,2024-01-25,Northwest
44,Textbook,3,400.53,2022-09-07,Central
45,Paper,44,790.73,2022-10-03,Northwest
46,Power Supply,30,409.29,2022-03-02,
47,Smartphone,14,199.59,2023-05-06,West
48,HDD,23,43.26,2023-04-26,Central
49,Folder,26,869.24,2024-12-25,East
50,Laptop,41,186.58,2022-10-29,West
51,Pen,34,,2023-09-04,West
52,Graphics Card,14,786.34,2024-02-11,South
53,Graphics Card,40,294.19,2023-10-29,Central
54,Network Card,28,770.54,2022-12-04,South
55,Programming Book,47,360.27,2024-02-13,Central
56,Tablet,7,898.83,2022-05-03,Northwest
57,Office Chair,11,,2022-02-13,Northeast
58,Headphones,14,106.44,2023-08-29,West
59,Graphics Card,20,,2024-08-18,East
60,SSD,11,623.66,2023-06-17,West
61,Jacket,32,729.24,2024-11-04,Southeast
62,HDD,13,528.39,2022-04-27,West
63,Paper,21,295.93,2024-09-29,South
64,Headphones,23,900.56,2022-08-05,North
65,Magazine,35,232.25,2024-09-11,South
66,Motherboard,27,765.82,2022-09-21,Northwest
67,Keyboard,35,832.39,2022-07-24,Northwest
68,Desktop,46,631.75,2023-09-25,South
69,Dictionary,33,,2022-05-26,South
70,Tablet,21,63.14,2023-06-29,Central
71,Bag,3,600.65,2023-06-09,Central
72,Power Supply,39,92.59,2022-12-13,Northeast
73,Tablet,47,906.05,2024-07-15,North
74,Smartphone,12,252.75,2022-08-24,Southwest
75,Jeans,32,46.19,2024-10-15,
76,Jacket,18,751.7,2023-01-23,North
77,Calculator,17,875.64,2022-09-21,Central
78,Watch,27,268.51,2024-01-28,Southwest
79,USB Drive,37,773.62,2024-03-20,South
80,Desk,28,673.82,2022-09-10,Central
81,Watch,9,528.4,2024-03-06,West
82,Microphone,35,411.02,2022-06-15,Northeast
83,T-Shirt,31,67.77,2022-03-10,Southwest
84,Jeans,27,84.02,2022-06-05,Central
85,Dictionary,47,68.98,2024-04-18,Northwest
86,GPU,4,,2023-07-14,East
87,Network Card,44,518.33,2022-09-08,Northeast
88,Paper,15,918.22,2023-09-26,
89,Motherboard,17,831.28,2022-05-14,Central
90,Webcam,35,376.35,2024-02-12,Northwest
91,Folder,43,,2024-05-01,
92,SSD,23,687.49,2022-11-23,Northeast
93,Power Supply,11,622.54,2023-07-08,West
94,Scanner,22,412.6,2024-04-06,Central
95,Microwave,36,803.82,2023-05-11,
96,USB Drive,12,710.77,2023-08-23,South
97,Headphones,49,495.26,2023-01-10,Northeast
98,Magazine,30,842.5,2022-01-14,North
99,CPU,36,805.58,2022-08-18,Southeast
100,Microwave,32,151.49,2024-05-19,Northeast
101,GPU,25,179.0,2024-12-30,Central
