Order_ID,Product,Quantity,Price,Order_Date,Region
1,Tablet,27,576.15,2022-06-13,West
2,Mouse,35,872.33,2022-03-08,Central
3,T-Shirt,2,49.35,2022-08-21,Southeast
4,Keyboard,3,840.81,2024-12-25,West
5,Tablet,25,,2023-05-30,
6,Refrigerator,46,713.7,2022-03-08,North
7,Keyboard,11,757.96,2023-01-11,
8,Desktop,22,951.98,2024-04-08,West
9,Paper,45,681.17,2023-04-08,North
10,Headphones,10,139.5,2022-04-09,East
11,Mouse,5,216.61,2024-08-02,
12,Desktop,28,857.15,2023-02-04,Central
13,Monitor,9,779.09,2023-02-08,South
14,Smartphone,15,628.99,2024-10-08,Central
15,Printer,45,761.48,2023-05-16,North
16,Headphones,48,878.26,2023-09-23,
17,Tablet,31,,2023-07-08,Northwest
18,Tablet,32,95.51,2024-09-12,Northeast
19,Laptop,31,,2024-10-04,North
20,Tablet,10,712.73,2022-07-16,Southeast
21,Laptop,27,767.15,2023-09-09,Southwest
22,Shoes,21,945.53,2023-11-25,Northeast
23,Keyboard,33,901.11,2023-01-18,East
24,Desktop,34,760.75,2024-05-08,Northeast
25,Smartphone,15,,2022-02-22,Southwest
26,GPU,32,,2023-12-29,Northwest
27,Desktop,30,793.99,2022-06-28,North
28,Monitor,34,902.07,2024-10-18,North
29,Tablet,29,577.8,2022-07-02,Northeast
30,Printer,36,482.24,2023-07-06,East
31,Desktop,6,607.05,2022-01-04,North
32,Webcam,35,776.31,2023-01-26,Northwest
33,Desktop,35,951.41,2024-12-27,West
34,Folder,17,48.86,2023-01-24,West
35,Network Card,31,74.29,2022-05-18,Southeast
36,Jeans,2,416.07,2024-08-20,North
37,Mouse,11,372.91,2024-12-03,North
38,Keyboard,8,460.06,2022-06-14,East
39,Office Chair,50,675.51,2023-03-07,Central
40,Tablet,29,776.4,2022-04-22,West
41,Smartphone,22,939.44,2023-04-19,Northeast
42,GPU,41,680.72,2023-12-19,Central
43,Shoes,50,453.46,2024-07-17,West
44,Laptop,29,290.83,2023-06-30,Central
45,Tablet,46,776.84,2022-04-01,
46,Washing Machine,13,149.64,2024-11-09,East
47,Desktop,39,854.04,2024-04-21,Southwest
48,Desktop,40,78.33,2023-10-04,West
49,Laptop,41,566.43,2024-04-21,Northwest
50,Monitor,48,708.59,2024-11-03,Southeast
51,Desktop,45,404.63,2024-11-24,Northeast
52,Laptop,33,679.29,2024-08-23,Southeast
53,Smartphone,28,429.0,2024-03-12,Northeast
54,Laptop,19,378.77,2022-10-17,Northeast
55,Monitor,48,564.73,2022-06-06,West
56,Smartphone,33,823.72,2024-01-01,West
57,Laptop,32,662.43,2022-04-07,West
58,Microwave,40,913.22,2022-01-29,North
59,Smartphone,19,298.27,2022-01-08,Southwest
60,Smartphone,47,283.27,2022-03-25,North
61,Tablet,40,794.79,2023-11-11,West
62,Monitor,23,932.5,2023-07-21,Northwest
63,Smartphone,39,876.07,2023-04-16,Central
64,Desktop,13,655.5,2023-08-07,East
65,Desktop,50,601.84,2023-08-19,West
66,Speaker,6,225.38,2022-01-12,Northwest
67,Desktop,39,153.52,2022-05-15,North
68,Watch,25,364.8,2022-07-16,South
69,Mouse,49,990.98,2022-08-09,East
70,Laptop,23,597.44,2022-07-19,Northwest
71,Desktop,14,755.65,2022-03-20,Northeast
72,Textbook,1,821.11,2023-08-22,North
73,Keyboard,28,687.29,2024-07-02,
74,Jeans,21,923.34,2024-04-10,Northwest
75,Notebook,11,192.25,2023-01-27,Northwest
76,Tablet,12,,2022-01-29,Southwest
77,Headphones,34,122.47,2023-02-02,North
78,Speaker,32,,2023-02-09,Northwest
79,Keyboard,16,,2024-05-04,Central
80,Laptop,3,629.76,2023-10-12,Southeast
81,Folder,18,95.43,2024-10-14,North
82,Monitor,32,42.42,2024-10-06,Northeast
83,Keyboard,24,,2022-02-05,West
84,Tablet,5,654.26,2022-12-19,Southeast
85,Mouse,38,587.47,2024-05-14,West
86,Mouse,8,39.62,2024-03-18,Northeast
87,Keyboard,38,732.93,2022-07-16,Northeast
88,Desktop,4,307.72,2022-02-12,South
89,Laptop,16,232.57,2023-02-05,Southwest
90,Keyboard,12,133.21,2024-06-12,South
91,Keyboard,41,674.62,2022-10-16,Northwest
92,Laptop,27,299.9,2024-11-19,Northeast
93,Keyboard,13,,2022-06-10,West
94,Smartphone,39,372.68,2022-02-26,Southeast
95,HDD,16,825.12,2024-05-17,West
96,Monitor,43,504.45,2022-03-05,East
97,Smartphone,3,755.49,2022-12-26,Central
98,Monitor,9,557.82,2024-02-02,Northeast
99,Monitor,14,609.74,2022-01-14,North
100,Watch,23,780.05,2024-11-22,Northwest
101,Notebook,42,551.33,2022-08-25,South
102,Monitor,48,511.19,2023-02-17,Southeast
103,Keyboard,32,410.62,2024-03-03,Northwest
104,Desktop,9,893.23,2023-05-10,South
105,Keyboard,24,780.28,2023-02-21,South
106,Desktop,31,834.84,2024-07-26,South
107,Monitor,37,85.81,2023-02-14,Northeast
108,Smartphone,2,487.99,2023-07-13,West
109,Mouse,33,353.4,2022-08-01,North
110,Smartphone,40,584.93,2022-08-08,South
111,Tablet,40,488.39,2023-07-06,Southeast
112,Desktop,50,,2023-12-03,Central
113,Notebook,32,374.85,2024-05-26,North
114,Tablet,20,509.42,2022-10-30,North
115,Scanner,40,960.7,2022-05-27,East
116,Webcam,34,999.3,2024-07-16,Northwest
117,Desktop,27,440.5,2023-11-28,Central
118,Microwave,22,457.8,2022-04-21,West
119,USB Drive,9,137.06,2022-11-03,South
120,Monitor,46,706.49,2023-10-30,Central
121,Tablet,14,644.42,2024-09-07,Southeast
122,Keyboard,26,803.14,2023-02-12,Northwest
123,Laptop,4,538.48,2023-01-11,Northeast
124,Smartphone,42,66.65,2024-02-26,East
125,Laptop,44,891.47,2022-04-11,South
126,Laptop,17,804.58,2024-05-13,
127,Monitor,21,316.44,2022-11-03,East
128,Smartphone,5,146.96,2024-01-31,Northwest
129,Shoes,38,,2022-06-24,Central
130,Network Card,39,,2023-07-26,West
131,Laptop,38,932.69,2024-12-09,North
132,Tablet,43,69.46,2022-02-04,Northwest
133,Tablet,47,187.84,2022-12-19,West
134,Air Conditioner,3,186.62,2024-04-16,Northwest
135,Smartphone,4,98.75,2022-05-26,Northwest
136,Tablet,26,456.06,2024-06-07,
137,Monitor,25,53.22,2022-08-14,Central
138,Mouse,17,18.87,2023-12-17,Northwest
139,Desktop,32,534.66,2022-11-23,
140,Smartphone,50,487.74,2024-09-29,
141,SSD,24,451.27,2023-01-15,West
142,Network Card,50,667.07,2023-01-12,
143,Desktop,6,810.26,2023-04-22,Southeast
144,GPU,14,529.04,2024-01-29,West
145,Monitor,39,909.52,2022-02-13,Central
146,Desktop,17,52.14,2023-07-02,Southwest
147,Tablet,2,674.2,2022-04-26,Northwest
148,Paper,35,364.02,2022-06-02,Northeast
149,Keyboard,20,,2023-08-26,
150,Keyboard,29,947.48,2023-01-07,Northwest
151,Notebook,17,610.71,2022-07-20,Southwest
152,Mouse,43,503.85,2022-11-04,Southwest
153,Mouse,33,197.55,2024-09-21,Southwest
154,Laptop,50,169.04,2023-08-24,East
155,Jacket,11,645.1,2024-09-16,Southeast
156,Laptop,24,104.58,2024-04-24,Southwest
157,Desktop,33,596.06,2024-11-16,Southwest
158,Monitor,11,743.06,2022-04-15,Northwest
159,Laptop,2,217.36,2022-12-23,Northwest
160,Mouse,26,80.67,2024-10-26,Northeast
161,Desktop,45,93.11,2023-11-02,Northwest
162,Programming Book,36,571.69,2024-10-11,South
163,Smartphone,45,476.71,2023-04-24,Southwest
164,Speaker,36,996.32,2023-07-01,South
165,Laptop,28,190.14,2022-09-06,South
166,Mouse,35,961.03,2024-12-05,Northeast
167,Keyboard,38,438.41,2023-09-30,East
168,Desktop,24,27.97,2023-12-01,West
169,Desktop,38,870.31,2022-03-31,North
170,Laptop,40,937.05,2022-08-07,South
171,Tablet,25,509.5,2024-05-26,East
172,Keyboard,15,18.77,2024-03-26,East
173,Keyboard,29,144.79,2024-04-26,Southwest
174,Monitor,46,100.03,2023-06-21,East
175,Hat,46,510.71,2024-12-06,Northwest
176,Mouse,26,980.79,2023-06-28,Southeast
177,Textbook,4,,2023-07-01,Southeast
178,Smartphone,8,989.94,2023-02-12,North
179,Smartphone,30,503.57,2022-10-22,East
180,Tablet,42,,2024-08-01,Northeast
181,Laptop,30,989.28,2023-10-16,Central
182,Desktop,27,280.78,2022-07-11,Southeast
183,Monitor,24,613.47,2023-08-24,South
184,Folder,16,701.86,2023-12-16,Northeast
