Order_ID,Product,Quantity,Price,Order_Date,Region
1,Headphones,2,744.13,2023-05-06,South
2,Mouse,48,,2023-10-07,North
3,Power Supply,28,41.46,2023-02-17,South
4,Printer,33,606.0,2023-10-15,South
5,Motherboard,27,228.24,2023-10-29,East
6,Laptop,49,807.76,2023-12-24,
7,Microphone,18,163.92,2023-06-22,North
8,Tablet,25,105.75,2023-06-26,
9,Camera,3,732.43,2023-10-02,North
10,USB Drive,6,556.52,2023-11-18,Central
11,Webcam,37,200.37,2023-02-05,North
12,Printer,50,296.49,2023-02-10,South
13,Headphones,25,285.19,2023-11-22,East
14,Keyboard,24,361.72,2023-12-10,East
15,Tablet,39,638.63,2023-10-01,South
16,Keyboard,30,385.66,2023-11-24,Central
17,Printer,44,,2023-01-29,South
18,Smartphone,21,407.15,2023-02-03,South
19,Power Supply,46,321.53,2023-12-02,West
20,USB Drive,42,,2023-05-16,South
21,Printer,48,565.75,2023-05-15,Central
22,External HDD,38,405.41,2023-04-23,South
23,Graphics Card,32,,2023-01-25,North
24,Mouse,41,168.38,2023-12-15,West
25,Cooling Fan,5,390.92,2023-11-02,West
26,Graphics Card,17,971.37,2023-01-06,North
27,Motherboard,49,274.16,2023-11-25,East
28,Headphones,19,440.42,2023-08-21,North
29,Camera,33,764.34,2023-09-17,North
30,Speaker,41,512.59,2023-04-12,South
31,Webcam,49,169.93,2023-09-29,North
32,Cooling Fan,21,493.72,2023-02-27,East
33,Speaker,16,67.35,2023-10-18,North
34,Tablet,47,491.13,2023-02-05,Central
35,Mouse,9,663.15,2023-10-09,South
36,Camera,34,873.71,2023-08-05,South
37,Motherboard,49,732.63,2023-04-13,East
38,USB Drive,43,653.38,2023-08-13,Central
39,RAM,8,255.43,2023-02-02,East
40,Laptop,38,,2023-10-29,South
41,Laptop,5,,2023-01-31,South
42,Tablet,3,861.04,2023-02-06,Central
43,Printer,18,672.29,2023-04-20,Central
44,Mouse,47,936.16,2023-10-20,Central
45,SSD,16,,2023-07-28,
46,Headphones,7,662.39,2023-07-01,West
47,External HDD,30,865.2,2023-01-28,North
48,Smartphone,26,730.93,2023-02-25,South
49,Monitor,13,540.92,2023-03-13,West
50,Keyboard,18,468.0,2023-02-08,West
51,Motherboard,7,60.08,2023-10-04,North
52,Tablet,49,850.21,2023-03-27,West
53,SSD,31,221.61,2023-07-25,North
54,Keyboard,25,12.13,2023-07-19,East
55,RAM,19,428.78,2023-10-12,West
56,Mouse,13,303.74,2023-01-30,Central
57,Motherboard,4,750.5,2023-01-30,North
58,Power Supply,31,,2023-09-29,South
59,Smartphone,33,89.31,2023-04-06,North
60,Cooling Fan,5,678.46,2023-05-01,West
61,Headphones,37,253.75,2023-11-01,North
62,Cooling Fan,6,425.03,2023-10-26,Central
63,Graphics Card,21,935.36,2023-04-15,East
64,Printer,17,401.83,2023-12-10,East
