Order_ID,Product,Quantity,Price,Order_Date,Region
1,Scanner,22,204.86,2023-12-25,North
2,Pen,12,261.0,2024-08-04,North
3,Webcam,35,610.36,2022-11-11,Northwest
4,Network Card,14,137.3,2022-11-04,West
5,Office Chair,34,213.67,2024-10-10,
6,Network Card,23,653.14,2022-02-14,South
7,Air Conditioner,12,,2022-11-12,South
8,Desktop,8,593.89,2024-03-24,Northeast
9,Refrigerator,32,786.42,2023-10-02,Central
10,GPU,34,683.05,2024-05-08,
11,Power Supply,18,936.58,2023-11-13,North
12,Desk,15,783.74,2024-08-06,South
13,Air Conditioner,34,422.62,2023-03-01,North
14,GPU,47,932.24,2023-12-28,North
15,Shoes,17,835.71,2022-08-08,North
16,Desktop,26,706.82,2023-03-10,South
17,GPU,9,910.0,2024-08-12,North
18,Power Supply,21,661.01,2023-07-31,South
19,SSD,20,720.34,2022-04-08,North
20,Paper,4,446.89,2022-01-06,Central
21,Network Card,9,13.23,2023-05-24,North
22,Pen,26,574.74,2024-05-10,North
23,Office Chair,42,797.78,2024-06-09,South
24,Textbook,46,692.07,2024-12-07,North
25,Graphics Card,37,656.88,2023-01-19,South
26,Jeans,6,253.65,2024-05-16,Northeast
27,Laptop,45,930.64,2023-04-02,South
28,GPU,39,289.47,2022-08-10,South
29,GPU,24,84.49,2024-07-06,North
30,T-Shirt,7,546.8,2023-05-14,South
31,Smartphone,41,179.82,2023-01-18,North
32,Webcam,1,203.66,2023-03-01,South
33,Headphones,31,,2022-06-27,South
34,Notebook,37,520.33,2024-08-13,North
35,Jeans,39,379.63,2024-09-18,South
36,Bag,24,598.17,2024-01-12,South
37,Washing Machine,3,121.89,2022-01-29,South
38,Dictionary,46,,2022-03-20,North
39,GPU,21,88.4,2024-06-17,North
40,Webcam,36,470.12,2024-02-29,North
41,Cooling Fan,31,80.98,2023-06-12,North
42,Speaker,39,905.41,2024-12-08,South
43,Shoes,13,312.51,2022-06-20,North
44,Hat,7,884.65,2022-12-24,South
45,Network Card,7,,2022-07-28,Southwest
46,Jeans,21,642.12,2024-04-08,North
47,Novel,45,257.05,2024-06-07,North
48,Monitor,3,51.25,2022-08-31,West
49,Power Supply,11,896.27,2023-07-06,South
50,TV,29,854.19,2024-01-07,South
51,Tablet,19,198.34,2024-11-02,North
52,GPU,3,26.2,2022-06-26,Southwest
53,Microwave,20,635.89,2024-05-19,South
54,Mouse,22,885.04,2024-11-27,Southeast
55,Printer,34,74.97,2024-04-11,South
56,Smartphone,17,255.49,2024-04-26,North
57,TV,35,296.35,2022-01-19,South
58,Washing Machine,41,695.4,2023-01-05,South
59,Headphones,44,709.57,2023-07-23,North
60,Magazine,22,879.47,2024-01-27,North
61,External HDD,22,304.75,2022-07-11,South
62,Network Card,35,104.88,2023-07-20,South
63,Graphics Card,13,341.9,2024-09-28,
64,Shoes,3,,2024-12-10,South
65,Shoes,33,855.44,2023-12-08,South
66,Paper,33,568.56,2024-03-06,Northwest
67,Laptop,30,939.14,2024-06-12,Northeast
68,Programming Book,39,641.28,2023-03-23,South
69,SSD,8,100.86,2023-09-25,South
70,Novel,40,789.92,2022-08-07,North
71,Power Supply,20,57.93,2022-11-15,South
72,Network Card,42,,2022-05-25,North
73,Refrigerator,7,914.76,2023-10-16,South
74,Calculator,42,870.46,2024-04-21,North
75,T-Shirt,6,804.53,2023-07-03,South
76,Smartphone,24,724.62,2023-09-05,East
77,Network Card,12,117.4,2024-10-13,South
78,Magazine,1,,2022-04-08,South
79,Keyboard,29,409.08,2023-02-14,North
80,CPU,33,775.61,2023-06-13,South
81,Smartphone,5,293.58,2023-02-18,West
82,Scanner,36,411.04,2023-01-17,North
83,Paper,22,872.58,2023-06-01,North
84,Calculator,33,161.48,2023-11-04,North
85,Folder,39,486.67,2023-08-07,South
86,Speaker,37,176.49,2024-11-22,South
87,Headphones,47,739.95,2023-11-07,South
88,Laptop,14,209.7,2022-06-17,South
89,Shoes,4,132.99,2022-04-25,South
90,Webcam,28,403.65,2023-09-04,South
91,Microwave,13,,2023-11-22,North
92,T-Shirt,10,485.76,2023-09-18,North
93,Dictionary,6,809.47,2023-02-12,
94,RAM,26,57.71,2022-03-14,
95,Calculator,21,478.11,2024-06-14,South
96,RAM,49,161.63,2024-03-13,North
97,Microphone,3,650.61,2022-06-12,South
98,GPU,35,526.33,2023-02-23,South
99,Scanner,8,366.4,2024-11-27,South
100,External HDD,3,176.28,2022-09-07,South
101,Shoes,21,721.77,2024-01-07,North
102,Hat,27,892.34,2023-07-23,North
103,Motherboard,2,177.22,2024-07-18,North
104,Novel,23,293.45,2024-04-16,North
105,Jeans,10,791.73,2023-09-21,South
106,Graphics Card,39,521.07,2022-01-12,North
107,Scanner,46,871.24,2023-07-04,South
108,Pen,16,952.58,2023-10-28,South
109,Webcam,27,316.48,2024-03-02,South
110,T-Shirt,43,602.32,2023-11-15,South
111,Smartphone,48,282.12,2023-02-26,East
112,Printer,26,119.38,2023-06-22,North
113,Shoes,10,68.38,2023-08-03,South
114,Jeans,50,648.44,2024-05-20,South
115,Calculator,36,709.07,2022-01-31,South
116,Dictionary,16,662.36,2022-10-17,North
117,Calculator,17,452.52,2024-08-12,South
118,Hat,42,945.75,2024-07-27,Southeast
119,Monitor,15,137.41,2023-06-29,North
120,Smartphone,21,932.22,2022-07-02,North
121,Headphones,32,30.39,2022-07-30,South
122,Air Conditioner,12,358.87,2022-11-12,North
123,Laptop,16,488.3,2023-11-07,South
124,Scanner,45,485.88,2023-01-06,South
125,Speaker,5,212.46,2023-01-24,North
126,T-Shirt,15,135.94,2022-12-23,South
127,Desk,8,119.1,2022-05-16,Northeast
128,Paper,39,619.41,2023-01-22,North
129,Desk,43,713.66,2024-08-26,Southeast
130,Laptop,20,790.41,2024-07-07,North
131,CPU,21,981.07,2024-11-15,North
132,Graphics Card,44,674.69,2023-04-20,South
133,SSD,7,526.58,2023-11-19,North
134,T-Shirt,27,349.36,2022-03-26,Southeast
135,Jeans,5,24.37,2024-02-21,South
136,Folder,32,296.24,2022-06-14,South
137,Microphone,6,543.34,2023-02-16,North
138,Refrigerator,15,628.54,2024-03-06,Northeast
139,Novel,33,818.68,2022-11-20,Southeast
140,Office Chair,49,257.82,2022-12-09,North
141,Speaker,19,947.64,2022-02-05,South
142,Textbook,47,30.81,2023-02-03,South
143,Bag,23,800.6,2023-07-16,North
144,Laptop,25,621.34,2024-12-27,Southeast
145,Motherboard,32,147.46,2024-08-27,North
146,Mouse,49,74.89,2022-02-15,South
147,Motherboard,46,228.16,2024-04-25,South
148,Folder,25,918.9,2023-12-08,North
149,Novel,14,752.16,2023-08-16,North
150,Dictionary,49,198.79,2022-07-06,South
151,Smartphone,14,103.99,2023-09-08,South
152,Watch,35,433.23,2022-06-03,South
153,Pen,36,532.18,2024-01-26,North
154,Desktop,36,198.7,2024-09-27,South
