Order_ID,Product,Quantity,Price,Order_Date,Region
1,Cooling Fan,21,413.99,2024-11-22,Northeast
2,HDD,28,324.06,2023-02-04,Southwest
3,Monitor,43,160.97,2024-01-14,North
4,CPU,16,383.44,2022-12-01,Southeast
5,T-Shirt,19,143.99,2022-02-08,Central
6,Notebook,37,189.15,2023-02-05,South
7,Speaker,21,758.18,2024-11-15,Southwest
8,Textbook,50,265.09,2022-02-11,Central
9,Cooling Fan,50,70.08,2023-12-23,Southeast
10,Programming Book,44,240.53,2023-01-05,South
11,Calculator,12,766.09,2024-08-16,East
12,Tablet,23,582.05,2024-12-19,Southwest
13,Washing Machine,22,433.27,2022-03-01,Southwest
14,Novel,13,915.26,2024-01-26,East
15,CPU,9,312.23,2022-02-15,East
16,HDD,32,261.65,2023-12-25,North
17,Graphics Card,43,589.13,2023-03-14,Southeast
18,Air Conditioner,43,593.73,2023-06-25,North
19,Microwave,30,395.72,2022-02-23,
20,SSD,13,183.42,2024-12-26,South
21,Paper,48,503.72,2023-02-04,Northeast
22,SSD,15,975.33,2022-02-02,East
23,Paper,2,428.47,2024-02-20,North
24,Textbook,22,525.98,2024-09-13,East
25,Network Card,1,498.33,2024-12-22,West
26,Textbook,29,871.26,2022-03-19,Northeast
27,Monitor,2,598.0,2024-01-22,West
28,Refrigerator,8,358.29,2024-11-02,Southwest
29,Jacket,9,564.72,2024-08-04,North
30,Scanner,13,,2022-01-21,East
31,SSD,11,315.68,2022-11-23,Northeast
32,RAM,40,945.34,2024-05-12,Southeast
33,External HDD,41,881.13,2024-11-18,South
34,Graphics Card,14,646.22,2024-01-10,North
35,Motherboard,39,189.36,2022-12-11,Southwest
36,Shoes,26,519.31,2024-12-11,North
37,Tablet,17,85.12,2024-08-12,West
38,Bag,25,421.78,2022-12-22,Southwest
39,Keyboard,24,471.97,2022-12-10,Northwest
40,Headphones,17,267.35,2023-01-07,
41,Tablet,42,206.95,2023-05-12,Central
42,Folder,26,644.33,2023-01-24,East
43,CPU,6,769.33,2023-11-14,Northwest
44,Speaker,16,312.07,2022-10-11,Northeast
45,Desktop,9,222.28,2024-01-01,Northeast
46,T-Shirt,12,127.13,2023-01-22,
47,External HDD,39,,2023-12-05,East
48,Cooling Fan,44,667.96,2024-02-13,Southeast
49,Monitor,34,822.14,2024-07-07,Central
50,Washing Machine,13,625.17,2022-01-26,East
51,Novel,13,324.05,2023-02-22,Central
52,T-Shirt,50,,2024-11-03,West
53,Speaker,40,69.2,2023-01-15,East
54,Novel,15,868.16,2022-07-12,Southeast
55,Magazine,16,487.03,2022-01-22,Northeast
56,Magazine,25,895.66,2024-02-01,Northeast
57,Office Chair,24,634.88,2022-11-06,North
58,External HDD,7,304.26,2023-12-18,Northeast
59,Smartphone,1,,2022-07-05,Northeast
60,Pen,7,,2024-04-16,Northeast
61,Hat,31,865.99,2022-11-27,North
62,Network Card,6,283.19,2022-12-06,East
63,Printer,32,360.57,2024-11-11,East
64,Office Chair,31,113.5,2023-02-18,Northeast
65,RAM,17,595.25,2023-11-27,Northwest
66,Cooling Fan,19,692.16,2023-11-01,East
67,Desktop,49,187.59,2022-02-03,Central
68,Microwave,41,957.08,2022-11-15,Central
69,Hat,37,708.31,2022-11-01,Central
70,Network Card,47,301.57,2022-12-17,North
71,Calculator,46,343.33,2024-02-22,West
72,GPU,19,714.85,2022-05-19,
73,Microphone,6,25.87,2024-08-27,Central
74,Cooling Fan,23,275.11,2024-08-24,South
75,Tablet,10,851.02,2022-04-04,West
76,Paper,38,136.88,2024-11-12,West
77,Power Supply,39,550.26,2023-10-19,Northeast
78,Scanner,39,16.21,2023-02-12,West
79,Keyboard,5,812.68,2024-11-23,Southeast
80,Folder,33,958.49,2024-02-05,Southeast
81,Motherboard,34,245.48,2024-12-26,Southwest
82,HDD,41,920.64,2022-02-13,Southeast
83,Motherboard,47,687.31,2022-11-01,North
84,Watch,36,545.47,2022-02-20,South
85,Motherboard,12,881.23,2023-01-27,West
86,Washing Machine,10,892.32,2023-01-02,Southwest
87,Jeans,1,89.71,2022-12-10,East
88,Headphones,20,586.08,2022-11-09,Northwest
89,Laptop,22,565.87,2024-01-11,West
90,Speaker,9,,2024-11-28,
91,CPU,6,224.16,2022-01-20,Southwest
92,Speaker,28,300.04,2024-02-13,Southeast
93,Smartphone,41,396.12,2022-12-08,North
94,Cooling Fan,42,618.85,2024-01-12,Southwest
95,Power Supply,9,445.86,2023-01-01,Southeast
96,Headphones,30,413.4,2024-11-26,West
97,Folder,43,804.74,2024-11-12,South
98,HDD,41,604.04,2022-02-10,Northeast
99,Network Card,29,34.96,2022-01-05,Southeast
100,Jacket,6,814.31,2023-01-18,Central
101,Webcam,47,544.68,2022-02-27,Southeast
102,Shoes,35,580.24,2022-11-19,Southwest
103,Graphics Card,41,48.14,2022-11-08,North
104,Hat,38,394.21,2022-12-23,Southwest
105,USB Drive,12,846.86,2024-04-12,Central
106,Tablet,38,522.54,2024-02-25,Northwest
107,Hat,3,786.11,2023-02-17,Northwest
108,Watch,43,90.17,2023-12-10,Northeast
109,Motherboard,39,119.95,2023-11-13,West
110,RAM,24,,2022-07-04,Northwest
111,TV,38,940.82,2022-12-15,Northwest
112,Notebook,19,985.76,2022-11-25,South
113,Headphones,40,975.87,2023-02-16,Southwest
114,Power Supply,8,556.39,2022-03-10,Southwest
115,Microwave,11,638.1,2024-02-04,Northwest
116,External HDD,9,892.71,2023-01-06,Northeast
117,Textbook,9,716.03,2024-07-23,Northwest
